ITEM OBSOLETO;DESCRIÇÃO
CMPRELE003661;CURVA HORIZONTAL 90C° 50X50 MM CH16 BLOQUEADO OPCAO CMPRELE003662
CMPRELE004294;CURVA VERTICAL EXTERNA 90C°200X100MM 1.4 GE BLOQUEADO OPCAO CMPRELE003794
CMPRELE001686;DISJ AJUST 3PC  252-630A 85KA 415V BLOQUEADO OPCAO CMPRELE001609
CMPRELE001761;DISJ BIPOL 6A CURVA C- MDW-C6-2 BLOQUEADO OPCAO CMPRELE001521
CMPRELE001113;DISJUN TRIP ABER EXTRAI 2500A BLOQUEADO PROTE LSIG(MICROPROC) MODEL ABW25ES3-25PC1E-B1110
CMPRELE003054;DISJUNTOR 3P 63A - C DWP63L-63 BLOQUEADO OPCAO CMPRELE000995
CMPRELE001190;DISJUNTOR 3P 63A ACW100H-FMU63-3 BLOQUEADO OPCAO CMPRELE001109
CMPRELE001048;DISJUNTOR 63A MONOPOLAR BLOQUEADO OPCAO CMPRELE001670
CMPRELE002999;DISJUNTOR ACTI9 IC60N 2P C 10A BLOQUEADO OPCAO CMPRELE003098
CMPRELE000996;DISJUNTOR EM CAIXA MOLDADA DWB160B-32 BLOQUEADO OPCAO CMPRELE001635
CMPRELE001049;DISJUNTOR MONOPOLAR MODELO: MDW-C16 BLOQUEADO OPCAO CMPRELE001851
CMPRELE001724;DISJUNTOR MOTOR 2.5 4A EVAPORADOR BLOQUEADO OPCAO CMPRELE001176
CMPRELE001725;DISJUNTOR MOTOR TRIPOLAR 10A 50KA BLOQUEADO OPCAO CMPRELE002050
CMPRELE000108;DISJUNTOR SCHNEIDER 32A BLOQUEADO
CMPRELE003034;DISJUNTOR TRIPOLAR CAIXA MOLDADA 20-25 A BLOQUEADO OPCAO CMPRELE001595
CMPRELE002731;DISJUNTOR TRIPOLAR CAIXA MOLDADA 32A BLOQUEADO OPCAO CMPRELE001635
CMPRELE001157;DISJUNTOR TRIPOLAR CAIXA MOLDADA 40A BLOQUEADO OPCAO CMPRELE001188
CMPRELE001487;DISJUNTOR TRIPOLAR EM CAIXA MOLDADA 100A BLOQUEADO
CMPRELE001760;DISJUNTOR UNI 10A CURVA C - MDW-C10 BLOQUEADO OPCAO CMPRELE001610
CMPRELE001045;DISJUNTOR10A BIPOLAR BLOQUEADO OPÇÃO CMPRELE001671
CMPRELE001046;DISJUNTOR16A BIPOLAR BLOQUEADO OPCAO CMPRELE001690 MODELO: MDW-C16-2
CMPRELE002891;DISPARADOR NSX100 MICROLOGIC 5.2E 40A 3P BLOQUEADO OPCAO CMPRELE002407
CCSMIND001546;DOBRADICA CORTA FOGO BLOQUEADO
CCSMIND000966;DOBRADICA EXTERNA ABERTURA DE 90C°.180C° BLOQUEADO OPCAO CMPREST000317
CMPRELE003840;ELETROCALHA ARAMADA 200X100 MM 1.4 GE BLOQUEADO OPCAO CMPRELE003697
CMPRELE003018;ELETROCALHA ARAMADA 200X100MM GF 1.4 GALVANIZADO A FOGO BLOQUEADO OPCAO CMPRELE001202
CMPRELE003749;ELETRODUTO ACO CARB ROSCAVEL MED. 1 GE BLOQUEADO OPCAO CMPRELE003902
CMPRELE004428;ELETRODUTO ACO GALV. MEDIO 1 X3000MM GE BLOQUEADO OPCAO CMPRELE003902
CCSMIND001246;EMENDA PARA LEITO ARAMADO BLOQUEADO OPCAO CMPRELE000890
CMPRELE006676;ESPELHO CEGO H=50 W=600MM REF PPFB5060BRA BLOQUEADO OPCAO CMPRELE006659
CCSMIND000028;ESPUMA EXPANSIVA 550ML BLOQUEADO OPCAO OPCAO CCSMIND000026
CMPRELE002062;ESTANHO BRILHANTE PARADO - INSUMOS BLOQUEADO OPCAO CMPRELE006313
CMPRELE002061;ESTANHO BRILHANTE PARADO - MAO DE OBRA BLOQUEADO OPCAO CMPRELE006312
CMPRELE002591;ESTRUTURA COMPLETA 2C (1.100X600X250) BLOQUEADO OPCAO CMPRELE001674
CMPRELE000260;FECHAMENTO DE PORTA 2300X850 RAL 7035 BLOQUEADO
CCSMIND001287;FITA DE ALTA FUSAO 19MMX10M BLOQUEADO OPCAO CCSMIND001768
CCSMIND001508;FITA DUPLA FACE BLOQUEADO OPCAO CCSMIND000703
CMPRHVC000294;FITA ELASTOMERICA CINZA 50MMX10M BLOQUEADO OPCAO CMPRHVC000386
CCSMIND002523;FITA ELASTOMERICA PVC PRETA 45MM X 25MM X 10M BLOQUEADO OPCAO CCSMIND000686
CMPRELE003268;FIXADOR ESTRUTURA EMPALETE REF LVS08701 BLOQUEADO NAO UTILIZAR
CMPRELE003692;FLANGE 100X50MM PZ GE ELETROLITICO BLOQUEADO OPCAO CMPRELE003624
CMPRELE001088;FLANGE 300X100MM GF BLOQUEADO
CMPRELE003624;FLANGE P. ELETROCALHA 100X50MM GE ELETROLITICO BLOQUEADO OPCAO CMPRELE004249
CMPRELE000219;FLANGE P. FIXACAO EM PAINEL 500X100 BLOQUEADO OPCAO CMPRELE002563
CMPRELE002678;FONTE ALIMENTACAO PSS24-W/5 BLOQUEADO OPÇÃO CMPRELE000087
CMPRELE005418;FONTE DE ALIMENTACAO - QUINT-PS/1AC/12DC/20 - 2866721 - PXC BLOQUEADO OPCAO CMPRELE004797
CMPRELE004599;FONTE DE ALIMENTACAO CHAVEADA 100.500V,24V,5A,120W REF ABL8RPS24050 BLOQUEADO OPCAO CMPRELE004744
CMPRELE001716;FONTE DE ALIMENTACAO ININTERRUPTA TRIO UPS 2G.3AC.24DC.20 - PXC BLOQUEADO OPCAO CMPRELE001518
CCSMIND001638;FX ESP PLISSADO 810X420X45MM.G4 BLOQUEADO OPCAO CCSMIND001639
CMPRELE001092;GANCHO CURTO P. PERFILADO 38X38MM GF BLOQUEADO
REVRELE004943;GRUPO GERADOR DE ENERGIA 455 KVA- HSW-455 T6B SP V380/60HZ AC36 INT DSE4520 BLOQUEADO OPCAO REVRELE004944
CMPRELE002248;HID SIGNO 25B LEITOR BIOMETRICO E CARTAO BLOQUEADO OPCAO CMPRSTM000006
CMPRHVC000400;ILHOS DE BORRACHA 028.58 BLOQUEADO OPCAO CMPRHVC000384
CCSMIND001020;ILHOS DE BORRACHA 1.8X49 BLOQUEADO
CCSMIND003164;ILHOS DE BORRACHA 1/2 X M10 BLOQUEADO OPCAO CCSMIND003159
CMPRELE004715;INTERRUPTOR DIFERENCIAL RESIDUAL ACTI9 ILD 4P 25A TIPO AC 30MA BLOQUEADO OPCAO CMPRELE004495
CMPRELE000983;INTERTRAVAMENTO MECANICO BLIM9-105 BLOQUEADO OPCAO CMPRELE002185
CCSMIND001936;ISOLADOR 30X30 M6 LARANJA BLOQUEADO OPCAO CCSMIND000672
CMPRELE001208;ISOLADOR 40X40 M6 VERMELHO BLOQUEADO OPCAO CMPRELE000393
CMPRELE003778;JUNCAO INTERNA TIPO T PARA PERFILADO 38X38MM GE BLOQUEADO OPCAO CMPRELE003758
CMPRELE002157;JUNCAO TIPO U GF BLOQUEADO
CMPRSTM000008;KIT 3 X PLACAS LGX 12 POSICOES LC.SC BLOQUEADO
CMPRELE002592;KIT DE MONTAGEM P.TTW-QD.DIMENSAO: 225MM BLOQUEADO OPCAO CMPRELE001675
CMPRELE002593;KIT DE MONTAGEM PARA TTW-QD. DIM.: 150MM BLOQUEADO OPCAO CMPRELE001676
CCSMIND001222;LAMPADA HO54V BLOQUEADO
CMPRELE003551;LEITO ARAMADO 200X100X3000MM 1.4 GE BLOQUEADO OPCAO CMPRELE003697
CMPRELE003721;LEITO PARA CABOS 400X100MM SEMI PESADO GE BLOQUEADO OPCAO CMPRELE003810
CCSMIND000395;LUMINARIA SOBR 2X18-20W C.SOQ BLOQUEADO
CMPRELE003386;LUVA THERMOMARK SLZ 3.10 PARA CABOS BLOQUEADO OPCAO CMPRELE000050
CMPRELE002938;MANGOTE GROOVED MACHO 2 X NPT MACHO 2 BLOQUEADO OPCAO CMPRHVC000631
CCSMIND001503;MANGUEIRA TRANSPARENTE 1 POL BLOQUEADO
CMPRHVC000248;MANTA ELASTOMERICA ALUMINIZADA13MMX1000MMX15000MM  BLOQUEADO OPCAO CMPRHVC001045
CMPREST000378;MANTA ELASTOMERICA AUTOADESIVA - 25MM ALUMINIZADA BLOQUEADO OPCAO CMPRHVC001046
CCSMIND001833;MASSA POLIESTER BAIXA DENSIDADE BLOQUEADO OPCAO CQMCIND000014
CQMCIND000051;MASSA POLIESTER BLOQUEADO OPCAO CQMCIND000014
CMPREST000341;MASSA POLIESTER FILLER 900G GALVANIZADO BLOQUEADO
CMPRELE000320;MICRO LOGIC BLOQUEADO
CMPRELE002626;MINICONTATOR AUX 10A 24VCC 2NA + 2NF BLOQUEADO OPCAO CMPRELE001603
CMPRELE001989;MINICONTATOR AUX.AZ CAW04-22-00V25 BLOQUEADO OPCAO CMPRELE002743
CMPRELE001993;MINICONTATOR AUX.AZ CWCA0-40-00V26 BLOQUEADO OPCAO CMPRELE000782
CMPRELE002422;MINIDISJUNTOR MONOPOLAR 4A. CURVA C. 5KA BLOQUEADO  OPCAO CMPRELE001673
CMPRELE001520;MINIDISJUNTOR TERMOMAGN MDW C10 BLOQUEADO OPCAO CMPRELE001610
REVRELE001521;MINIDISJUNTOR TERMOMAGN MDW C6-2 REF 10076399 BLOQUEADO
CMPRELE002427;MINIDISJUNTOR TRIPOLAR 80A BLOQUEADO OPCAO CMPRELE001721
CMPRELE002331;MODULO DE BORRACHA PARA VEDACAO BLOQUEADO OPCAO CMPRHVC000193
CMPRELE002622;MODULO DE COMUNICACAO MODBUS BLOQUEADO OPCAO CMPRELE001999
CMPRELE002621;MODULO DE MEDICAO DE TENSAO P.ABW-VDM BLOQUEADO OPCAO CMPRELE001998
CMPRELE002247;MODULO ELETRICO DE CONTROLE INTELIGENTE BLOQUEADO MODELO LNL-X2220 OPCAO CCSMIND000434
CCSMIND001475;PAINEL DE EMBUTIR SLIM LED BLOQUEADO OPCAO CCSMIND001261
CMPRELE002650;PAINEL EMBUT REDONDO LED 6W 6500K BIV BLOQUEADO OPCAO CMPRELE002254
CCSMIND002687;PAINEL TMX-27R BLOQUEADO OPCAO CMPRELE003276
