PN;Roteiro;;Cod_Roteiro;Descricao_Roteiro;Procedencia;Destino;;OPER;Descricao_OPER;;ME1;ME2;ME3;ME4;ME5;ME6;ME7;ME8;ME9;ME10;PER1;PER2;PER3;PER4;PER5;MF1;MF2;MF3;MF4;MF5;MF6;MF7;MF8;MF9;MF10;MF11;MF12;MF13;MF14;MF15;MF16;MF17;MF18;MF19;MF20;MF21;MF22;MF23;FP1;FP2;FP3;FP4;FP5;FP6;FP7;FP8;FP9;FP10;FP11;FP12;FP13;FP14;FP15;FP16;FP17;FP18;SCJ1;SCJ2;SCJ3;FB1;EXP1;EXP2;PER6;MF24;MF25;MF26;MF27;ME11;ME12;CD1
;;;FP7;02 LASER;Planta 3;Planta 3;;45;MONTAGEM ESTRUTURAL FLANGE ACOPLAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP8;02 LASER + 03 DOBRA;Planta 3;Planta 3;;46;SOLDAGEM ESTRUTURAL FLANGE ACOPLAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP9;02 LASER + 03 DOBRA + 04 MONTAGEM E SOLDA;Planta 3;Planta 3;;47;MONTAGEM ESTRUTURAL PÉ DIREITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP10;02 LASER + 03 DOBRA + 04 MONTAGEM E SOLDA + 06 P. LÍQUIDA;Planta 3;Planta 3;;48;SOLDAGEM ESTRUTURAL PÉ DIREITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP11;02 LASER + 03 DOBRA + 06 P. Líquida;Planta 3;Planta 3;;49;MONTAGEM ESTRUTURAL TETO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP12;02 LASER + 03 DOBRA + 07 P. Eletrostática;Planta 3;Planta 3;;50;SOLDAGEM ESTRUTURAL TETO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP13;02 LASER + 04 MONTAGEM;Planta 3;Planta 3;;51;MONTAGEM ESTRUTURAL IÇAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP14;02 LASER + 04 MONTAGEM + 07 P. Eletrostática;Planta 3;Planta 3;;52;SOLDAGEM ESTRUTURAL IÇAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP15;02 LASER + 04 MONTAGEM E SOLDA;Planta 3;Planta 3;;53;MONTAGEM ESTRUTURAL MACAQUEAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP16;02 LASER + 06 P. Líquida;Planta 3;Planta 3;;54;SOLDAGEM ESTRUTURAL MACAQUEAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;FP17;02 LASER + 06 P. LÍQUIDA + 04 MONTAGEM E SOLDA;Planta 3;Planta 3;;55;MONTAGEM ESTRUTURAL PAREDES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
